2026-06-13 18:13:47.930 INFO  [http-nio-8081-exec-4] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-06-13 18:13:47.932 INFO  [http-nio-8081-exec-4] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-06-13 18:13:47.935 INFO  [http-nio-8081-exec-4] o.s.web.servlet.DispatcherServlet - Completed initialization in 3 ms
2026-06-13 18:13:47.945 INFO  [http-nio-8081-exec-4] com.enotes.aspect.LoggingAspect - Start Calling :: AuthController :: login()
2026-06-13 18:13:47.946 INFO  [http-nio-8081-exec-4] com.enotes.aspect.LoggingAspect - Start Calling :: AuthServiceImpl :: login()
2026-06-13 18:13:48.116 INFO  [http-nio-8081-exec-4] com.enotes.aspect.LoggingAspect - Start Calling :: JwtServiceImpl :: generateToken()
2026-06-13 18:13:48.120 INFO  [http-nio-8081-exec-4] com.enotes.aspect.LoggingAspect - End Calling :: JwtServiceImpl :: generateToken() :: 3 ms
2026-06-13 18:13:48.129 INFO  [http-nio-8081-exec-4] com.enotes.aspect.LoggingAspect - End Calling :: AuthServiceImpl :: login() :: 183 ms
2026-06-13 18:13:48.130 INFO  [http-nio-8081-exec-4] com.enotes.aspect.LoggingAspect - End Calling :: AuthController :: login() :: 184 ms
